Index,AUC,AUC_95CI_low,AUC_95CI_high,n
Naples_skoru,0.7840083073727934,0.6909259528387665,0.8692857452715599,125
NLPR,0.7383802816901408,0.6069144786910199,0.8438178259809671,162
HLR,0.7316901408450704,0.5918897528690662,0.8526691801158245,162
dNLR,0.7202464788732394,0.591839333923836,0.8331222943722943,162
PNR,0.7161971830985916,0.5582129073161878,0.8599901871980676,162
NLR,0.7147887323943662,0.5778879658670849,0.8299725126171593,162
