Index,AUC,AUC_95CI_low,AUC_95CI_high,yon,cutoff,sensitivite,spesifite
NLPR,0.7383802816901408,0.6069144786910199,0.8438178259809671,>=,1.257719292573313e-05,0.8,0.6267605633802817
HLR,0.7316901408450704,0.5918897528690662,0.8526691801158245,>=,0.008382352941176471,0.65,0.7605633802816901
dNLR,0.7202464788732394,0.591839333923836,0.8331222943722943,>=,2.717277486910995,0.8,0.6830985915492958
PNR,0.7161971830985916,0.5582129073161878,0.8599901871980676,<=,29.23076923076923,0.6,0.823943661971831
NLR,0.7147887323943662,0.5778879658670849,0.8299725126171593,>=,3.4857142857142858,0.85,0.5915492957746479
SIRI,0.6908450704225353,0.5493130854505022,0.8206760585426833,>=,3900.0,0.7,0.7253521126760563
dSIRI,0.6880281690140845,0.5453134208766249,0.8181205411723026,>=,4066.6666666666665,0.7,0.6901408450704225
LENF,0.6869718309859154,0.5388435712172026,0.8227827165939593,<=,1970.0,0.8,0.5915492957746479
NEU,0.6860915492957746,0.5530180397076027,0.8130630707762557,>=,7640.0,0.7,0.647887323943662
HSI,0.6848591549295775,0.5397830869511412,0.825818215452133,<=,1.8976744186046512,0.55,0.8309859154929577
dSII,0.6767605633802816,0.5484653644169053,0.7955434534182785,>=,1172786.600496278,0.8,0.556338028169014
SII,0.6742957746478873,0.5456147516477855,0.7925010305682394,>=,941833.746898263,0.8,0.5211267605633803
MLR,0.6535211267605634,0.5103297133900583,0.7890001254654405,>=,0.3333333333333333,0.8,0.46478873239436624
LMR,0.6535211267605634,0.5103297133900583,0.7890001254654405,<=,3.0,0.8,0.46478873239436624
SIIH,0.648943661971831,0.5141668048694981,0.7833048969492631,>=,79543.70629370629,0.75,0.556338028169014
WBC,0.6468309859154929,0.5012881854987119,0.7777834467120182,>=,13400.0,0.5,0.7887323943661972
NMR,0.6426056338028169,0.5229302580626376,0.767566173510467,>=,8.5,0.8,0.5211267605633803
HNR,0.6373239436619718,0.49575601090136395,0.7835437804129742,<=,0.001472957422324511,0.55,0.7323943661971831
NHR,0.6373239436619718,0.49575601090136395,0.7835437804129742,>=,678.90625,0.55,0.7323943661971831
PLR,0.6221830985915493,0.49890580233234844,0.7413711945358149,>=,139.4805194805195,0.8,0.471830985915493
PLT,0.5992957746478873,0.46694798426846296,0.7322239688128772,<=,314000.0,0.75,0.49295774647887325
HB,0.580281690140845,0.42038210703802076,0.7230384107693001,>=,13.1,0.6,0.5774647887323944
MONO,0.5669014084507042,0.4062626434512709,0.7190518405943938,>=,1010.0,0.45,0.7816901408450705
MHR,0.5144366197183099,0.36016143444047793,0.6680302520681373,>=,71.17117117117117,0.45,0.704225352112676
