Index,KW_H,p,p_FDR
dNLR,16.324991707064274,0.0002851498137485182,0.006311465888631585
HSI,14.997844986698226,0.0005536806434216882,0.006311465888631585
NLPR,14.289657718206229,0.0007889332360789481,0.006311465888631585
NLR,11.977934344012908,0.0025062512403508023,0.015037507442104815
HB,11.466807730159484,0.0032360434102802703,0.015533008369345297
PNR,11.019042527462716,0.004048044865307837,0.01619217946123135
NHR,9.157267600972489,0.010268916105485295,0.025020409444321753
HNR,9.157267600972489,0.010268916105485295,0.025020409444321753
SIIH,9.108781711027063,0.010520907033093012,0.025020409444321753
SIRI,8.874857753847323,0.011826306352475204,0.025020409444321753
SII,8.815185651913794,0.012184473204465073,0.025020409444321753
MLR,8.602335764565112,0.01355272178234095,0.025020409444321753
LMR,8.602335764565112,0.01355272178234095,0.025020409444321753
dSII,8.417439951120741,0.014865384220199847,0.02548351580605688
PLT,8.098273309808278,0.017437422656077745,0.02789987624972439
dSIRI,7.917350848385354,0.01908838156212787,0.028632572343191807
NEU,7.773740916505221,0.020509430827611502,0.028954490580157415
LENF,7.4182296929957,0.024499199228960045,0.03266559897194673
NMR,7.20817963111466,0.027212201667300775,0.034373307369222034
PLR,5.367001438372711,0.06832355343715961,0.08198826412459152
HLR,4.125912348366228,0.1270777501190574,0.14523171442177987
MHR,2.8988896803457265,0.2347005482486442,0.25603696172579365
MONO,2.243644157298592,0.3256858284664155,0.33984608187799875
WBC,1.5515048566667857,0.46035726480149186,0.46035726480149186
