Index,n_severe,n_nonsevere,median_severe,median_nonsevere,U,p,p_FDR
PNR,15,69,27.422680412371133,50.77262693156733,304.0,0.012858749796359916,0.15430499755631902
NLPR,15,69,2.8050896471949104e-05,1.0517874217328275e-05,731.0,0.012858749796359916,0.15430499755631902
HSI,15,69,1.6350515463917523,4.404776119402985,325.0,0.02493582213648586,0.16854542075955953
dNLR,15,69,3.6040268456375837,1.4171539961013646,703.0,0.030723042975858164,0.16854542075955953
PLT,15,69,241000.0,276000.0,338.5,0.037086414182323064,0.16854542075955953
NLR,15,69,6.56,2.58273381294964,692.0,0.04213635518988988,0.16854542075955953
NMR,15,69,9.212328767123287,6.774193548387097,686.0,0.04975130089355714,0.1688323327178115
HNR,15,69,0.0013689320388349513,0.0023870967741935487,358.0,0.06331212476917931,0.1688323327178115
NHR,15,69,730.4964539007092,418.9189189189189,677.0,0.06331212476917931,0.1688323327178115
LENF,15,69,1300.0,1900.0,370.5,0.08706774015499037,0.20239597335649087
HLR,15,69,0.009302325581395349,0.006367713004484305,655.0,0.1095819406099101,0.20239597335649087
NEU,15,69,9100.0,5250.0,654.0,0.11220053582364219,0.20239597335649087
SIRI,15,69,4506.25,1962.8776978417266,653.0,0.11486817576838178,0.20239597335649087
dSIRI,15,69,4900.0,2772.9605263157896,649.0,0.1260247079431083,0.20239597335649087
LMR,15,69,2.1666666666666665,2.6842105263157894,389.0,0.13493064890432724,0.20239597335649087
MLR,15,69,0.46153846153846156,0.37254901960784315,646.0,0.13493064890432724,0.20239597335649087
SIIH,15,69,128658.41073271414,56832.10784313725,643.0,0.1443195091558928,0.20374518939655453
WBC,15,69,11300.0,8300.0,633.0,0.17920169460939583,0.23893559281252777
SII,15,69,1551437.5,672237.5886524823,623.0,0.22008202412605082,0.2779983462644853
dSII,15,69,1687000.0,844157.8947368421,616.0,0.2523931118411,0.30287173420932
MHR,15,69,74.4186046511628,63.1578947368421,611.0,0.27740563600791557,0.31703501258047495
MONO,15,69,700.0,720.0,585.0,0.4337935565388493,0.4618586603512189
HB,15,69,12.0,12.2,454.0,0.4615523361172905,0.4618586603512189
PLR,15,69,161.1764705882353,142.32558139534885,581.0,0.4618586603512189,0.4618586603512189
