Index,AUC,AUC_95CI_low,AUC_95CI_high,yon,cutoff,sensitivite,spesifite
NLPR,0.706280193236715,0.5404058392140585,0.864599133261105,>=,1.953628166595105e-05,0.6666666666666666,0.7246376811594203
PNR,0.706280193236715,0.5254494923889254,0.8580390589943582,<=,30.10989010989011,0.6,0.7536231884057971
HSI,0.6859903381642513,0.521295006871278,0.8419452580990299,<=,2.1902912621359225,0.6666666666666666,0.7246376811594203
dNLR,0.6792270531400966,0.5196559329577601,0.8237861223186695,>=,1.4522292993630572,0.8666666666666667,0.5217391304347826
PLT,0.6729468599033817,0.5300769927536233,0.7968979779411764,<=,297000.0,0.9333333333333333,0.42028985507246375
NLR,0.668599033816425,0.49864704510535557,0.8331257783312578,>=,5.352941176470588,0.6666666666666666,0.7246376811594203
NMR,0.6628019323671498,0.5126705075538702,0.8019815660966916,>=,8.047619047619047,0.6666666666666666,0.6666666666666667
HNR,0.6541062801932367,0.4833817616959064,0.8093211197446196,<=,0.002192513368983957,0.8,0.5507246376811594
NHR,0.6541062801932367,0.4833817616959064,0.8093211197446196,>=,456.0975609756097,0.8,0.5507246376811594
LENF,0.6420289855072464,0.46333640458640457,0.814454627293788,<=,900.0,0.4,0.9130434782608696
HLR,0.6328502415458938,0.46294316520467843,0.7987194694694694,>=,0.0088125,0.6,0.7101449275362319
NEU,0.6318840579710144,0.45305266203703703,0.7921065679793042,>=,9100.0,0.5333333333333333,0.8115942028985508
SIRI,0.6309178743961353,0.434390495740024,0.8122655155155154,>=,4476.923076923077,0.6,0.7246376811594203
dSIRI,0.6270531400966184,0.4200189373756749,0.8093716143011918,>=,4800.0,0.6,0.6956521739130435
MLR,0.6241545893719807,0.4050554614558374,0.8137113899613898,>=,1.1317829457364341,0.4666666666666667,0.9565217391304348
LMR,0.6241545893719807,0.4050554614558374,0.8137113899613898,<=,0.8835616438356164,0.4666666666666667,0.9565217391304348
SIIH,0.6212560386473429,0.4485239059391873,0.7855069061713275,>=,110031.02836879433,0.6,0.7246376811594203
WBC,0.6115942028985507,0.4319578577699737,0.7650487604867817,>=,10900.0,0.6,0.6811594202898551
SII,0.6019323671497584,0.41484860449461475,0.7770412457912457,>=,1466705.8823529412,0.6,0.7246376811594203
dSII,0.5951690821256038,0.39887361194477794,0.7696185494399778,>=,1547294.1176470588,0.6,0.6956521739130435
MHR,0.5903381642512078,0.38742199053534454,0.7638648743079322,>=,92.85714285714285,0.4666666666666667,0.855072463768116
HB,0.5613526570048311,0.3800337250454082,0.7432404799165362,<=,12.3,0.7333333333333333,0.46376811594202894
PLR,0.561352657004831,0.39224238823798513,0.7243635618283505,>=,160.2803738317757,0.6,0.6521739130434783
MONO,0.43478260869565216,0.2502535626215204,0.6287196939586644,<=,40.0,0.06666666666666667,1.0
